,Name,RAM,ROM,Extended_memory,Battery,Processor,Price
558,ViVO Y55S,3,16,256,2730,Qualcomm Snapdragon 425 64bit Quad Core 14GHz Processor,13995
559,SAMSUNG Galaxy J6,4,64,256,3000,Exynos 7870 Processor,14990
560,OPPO F3,4,64,128,3200,Mediatek MT6750T Processor,18000
561,SAMSUNG Galaxy A50,6,64,512,4000,Exynos 9610 Processor,24000
562,SAMSUNG Galaxy J5 Prime,3,32,256,2400,Exynos 7570 Quad Core 14GHz Processor,13500
563,SAMSUNG Galaxy J7 Nxt,3,32,256,3000,Exynos Octa Core 16 GHz Processor,12000
564,ViVO Y93,4,32,256,4030,MediaTek Helio P22 Processor,15990
565,SAMSUNG Galaxy J8,4,64,256,3500,Qualcomm Snapdragon SDM450 Processor,19500
566,SAMSUNG Galaxy J8,4,64,256,3500,Qualcomm Snapdragon SDM450 Processor,18990
567,SAMSUNG Galaxy A30,4,64,512,4000,Exynos 7904 Processor,18000
568,SAMSUNG Galaxy A50,6,64,512,4000,Exynos 9610 Processor,24000
569,ViVO Y69,3,32,256,3000,Mediatek MT6750 Octa Core 15GHz Processor,13900
570,ViVO Y71,4,32,256,3360,Qualcomm Snapdragon 425 Processor,12000
571,ViVO Y71,3,16,256,3360,Qualcomm Snapdragon 425 Processor,10900
572,ViVO Y83 Pro,4,64,256,3260,Mediatek Helio P22 Processor,14500
573,ViVO Y83 Pro,4,64,256,3260,Mediatek Helio P22 Processor,14500
574,OPPO A5,4,32,256,4230,Qualcomm Snapdragon 450 Processor,13500
575,SAMSUNG Galaxy A20,3,32,512,4000,Exynos 7884B Processor,13099
576,OPPO A71,3,16,256,3000,Mediatek MT6750 Octa Core 15 GHz Processor,12500
577,OPPO F9,4,64,256,3500,Mediatek Helio P60 Octacore 20 GHz Processor,21362
578,SAMSUNG Galaxy J6 Plus,4,64,512,3300,Qualcomm Snapdragon SD425 Processor,13600
579,Panasonic Eluga Ray 700,3,32,128,5000,Mediatek MTK6753 Octa Core 13GHz Processor,16000
580,ViVO V11 Pro,6,64,256,3400,20 GHz Qualcomm Snapdragon 660 AIE Processor,22654
581,OPPO A3s,2,16,256,4230,Qualcomm Snapdragon 450 Processor,11500
582,OPPO A3s,2,16,256,4230,Qualcomm Snapdragon 450 Processor,11500
583,SAMSUNG Galaxy J6,4,64,256,3000,Exynos 7870 Processor,14990
584,SAMSUNG Galaxy J7 - 6,2,16,128,3300,Exynos 7870 Octa Core 16GHz Processor,15299
585,Tecno Camon i 2,3,32,128,3750,MT6761 Processor,11999
586,SAMSUNG Galaxy A20,3,32,512,4000,Exynos 7884B Processor,12900
587,Honor 7X,4,64,0,3340,Kirin 659 Processor,15500
588,OPPO F9,4,64,256,3500,Mediatek Helio P60 Octacore 20 GHz Processor,21362
589,SAMSUNG Galaxy J6 Plus,4,64,512,3300,Qualcomm Snapdragon SD425 Processor,13600
590,Panasonic Eluga Ray 700,3,32,128,5000,Mediatek MTK6753 Octa Core 13GHz Processor,16000
591,ViVO V11 Pro,6,64,256,3400,20 GHz Qualcomm Snapdragon 660 AIE Processor,22654
